,ind,area,ratio_low,ratio_high,ratio_fit_low,ratio_fit_high,slope_low,slope_high,ratio_fit_diff,ratio_fit_ratio,p
463,62,3,0.040149845020929414,0.09425755835170171,0.040224634004106696,0.09473111171723417,-1.919532879808486e-05,7.493795817107145e-05,0.05450647771312747,2.3550521729436413,0.0008078639704849827
477,17,2,0.07049791532906173,0.18774126267418237,0.0695970264976259,0.18831565391452265,0.0001722648097600903,6.698118525963451e-05,0.11871862741689675,2.7058002818690317,0.0008421300349916893
449,13,4,0.0745373205427477,0.21297081225880393,0.07494034761100402,0.2126945735997467,0.0003433497037845315,0.00011026557618190248,0.13775422598874268,2.838185041571855,0.0008591774223623084
447,13,2,0.04390828591470482,0.10665683270265525,0.042728910947773514,0.10715836712419076,-1.6834612556655534e-05,7.095735521285467e-05,0.06442945617641724,2.507865628851804,0.0008671000787651841
251,59,1,0.11442773358001318,0.30750734885883035,0.11398989539319114,0.3069666977398144,0.00044800544019127933,0.00016474347343366246,0.19297680234662323,2.692929023936539,0.0008729714275028691
347,80,2,0.016412951940068986,0.05420685514878851,0.016232966780536658,0.05442986353594456,5.0060322531650684e-05,3.800570533315572e-05,0.038196896755407904,3.3530447189238397,0.0008869579487480436
296,29,1,0.031419604068861004,0.09652907970154721,0.029833132813402566,0.097870017797062,-3.993922085956733e-05,6.53300690010078e-05,0.06803688498365944,3.280581305664747,0.0008917924097671789
401,52,1,0.04572377104175169,0.11574723018665595,0.04499160409641418,0.11571548960549848,0.00010024358837570751,2.2389894839869736e-05,0.07072388550908429,2.5719351850075727,0.0008923221438974329
43,10,3,0.01725361902992077,0.04953782930259583,0.01735026774619414,0.04936567137354709,9.424099782430486e-05,1.3467214344241873e-05,0.032015403627352945,2.84523974475124,0.0009061540049094219
303,90,3,0.05676825145883863,0.1514839669889759,0.054979296042222695,0.15211657656550062,9.894309457995206e-05,6.535948817137988e-05,0.09713728052327793,2.7667974586047626,0.0009366586235696346
396,12,1,0.08368260682153432,0.11153978342174155,0.08216534367779561,0.11219929574215332,-0.0001363970463283714,3.4767465131549393e-05,0.030033952064357702,1.3655306570874124,0.0009719636151980106
138,83,3,0.09962273266875796,0.18346095857144934,0.10098937639977965,0.18176081976637687,0.00040633317926883376,5.017756563219412e-05,0.08077144336659722,1.7998013874930063,0.00101232594739611
271,48,1,0.0751487670495933,0.2029066823996925,0.07423414040884528,0.20289975242658342,0.0002763217827330946,8.974535545463483e-05,0.12866561201773813,2.733240410801701,0.0010285016621000614
424,4,4,0.038194748634160613,0.11938167441144071,0.037584230104238996,0.11937016586027209,9.883935975288596e-05,5.9407122948015296e-05,0.0817859357560331,3.1760705362116424,0.0010343679643645726
134,15,4,0.12498586845271198,0.1625436382858688,0.12672439332158073,0.15948968835605937,0.0005045398124231553,-1.8287038984865076e-05,0.03276529503447864,1.2585555485859157,0.001037948979738528
132,15,2,0.19620774542951722,0.2324303468519679,0.19537395282285666,0.23293563941900647,0.00016060484938741076,6.667770279712463e-05,0.03756168659614981,1.1922553444481239,0.0010495528335840345
59,30,4,0.09309759579580067,0.20359091621083933,0.09240681262604597,0.2030135705280028,0.00023276197134925337,8.343974600977362e-05,0.11060675790195684,2.1969545833115447,0.0010781778645105882
97,71,2,0.021076846713223796,0.05530475360521918,0.021676580246463205,0.05529717063107023,0.00011496624231036505,8.855658512428296e-06,0.033620590384607026,2.5510098918897794,0.0011179984671839296
212,9,2,0.09978932457171726,0.1734933402528464,0.09930182374471092,0.17362183786228108,-4.726032246695443e-06,2.8153433804085735e-05,0.07432001411757017,1.7484254700964508,0.0011185177514733413
136,83,1,0.14758054928974776,0.26501692929656206,0.15128168682218956,0.26261259314328067,0.0004738054961790937,3.258943567890784e-05,0.1113309063210911,1.7359179333579549,0.0011353363266005364
19,96,4,0.20250830221529034,0.26324603866357826,0.20051183498772768,0.26499376132413227,-0.0004034672582747957,2.591110784201001e-05,0.0644819263364046,1.3215866352245553,0.0011371856949387229
161,64,1,0.14656173330309935,0.1868356822566885,0.14605978836398045,0.18894605348672905,-0.00042551716719465177,1.9397670396899707e-05,0.042886265122748596,1.2936213012706563,0.0011387141143999083
262,18,2,0.10303033891619669,0.21419729020533462,0.10363333814644804,0.212775062266777,0.00042229897573502727,6.207828555928588e-05,0.10914172412032896,2.053152644432787,0.0011412031129946984
273,48,3,0.021058731360489316,0.04981712468181712,0.02046220037038796,0.050332756825624846,-3.244048376118258e-05,5.125291443478563e-06,0.029870556455236886,2.45979200254848,0.0011433380401267112
51,61,1,0.1571703377969431,0.27768591527921227,0.15670245012494485,0.27692501805882097,7.167313435674104e-05,6.376089396157984e-05,0.12022256793387612,1.7672028601851348,0.0011466523145880656
377,26,2,0.0701388592556662,0.15409080410883644,0.0709895484669005,0.15281835769404964,0.00038266372084745534,3.2554754740730424e-05,0.08182880922714914,2.152688120918286,0.001170245107357357
266,58,1,0.04470962270441917,0.096981867872929,0.04468232863261556,0.09745163016675093,2.0295151251817004e-05,4.253989560109947e-05,0.05276930153413537,2.1809881702453793,0.0011815121463162317
398,12,3,0.22558523645337855,0.30165733038198217,0.226328526785806,0.29998114679134424,0.00026602863335400506,-6.226734921173591e-06,0.07365262000553824,1.3254234941194223,0.0011916453156540492
371,5,1,0.041094127366311864,0.09769022605912854,0.04053625565426537,0.09818219426169722,3.387053220172176e-06,4.51977723200635e-05,0.05764593860743185,2.4220834578086183,0.0012324909705314668
258,49,3,0.05430631693327576,0.10204401844075255,0.055551724492587565,0.10142240215888014,0.0001347461208346866,4.3277376097214535e-05,0.045870677666292575,1.8257291395591733,0.0012442972988126802
